map_seed,class_id,recall,recall_nominal,excess
11,0,0.84,0.91,0.07
11,1,0.87,0.86,-0.01
11,2,0.73,0.78,0.05
11,3,0.62,0.55,-0.07
11,4,0.47,0.61,0.14
11,5,0.82,0.85,0.03
11,6,0.68,0.76,0.08
11,7,0.74,0.76,0.02
11,8,0.89,0.89,0.0
11,9,0.85,0.8,-0.05
11,10,0.36,0.51,0.15
11,11,0.55,0.44,-0.11
11,12,0.83,0.85,0.02
11,13,0.57,0.63,0.06
11,14,0.76,0.76,0.0
11,15,0.8,0.8,0.0
11,16,0.83,0.82,-0.01
11,17,0.85,0.86,0.01
11,18,0.65,0.69,0.04
11,19,0.66,0.69,0.03
11,20,0.87,0.83,-0.04
11,21,0.63,0.8,0.17
11,22,0.79,0.73,-0.06
11,23,0.69,0.78,0.09
11,24,0.75,0.83,0.08
11,25,0.53,0.62,0.09
11,26,0.53,0.67,0.14
11,27,0.23,0.52,0.29
11,28,0.73,0.79,0.06
11,29,0.6,0.68,0.08
11,30,0.55,0.63,0.08
11,31,0.69,0.76,0.07
11,32,0.55,0.6,0.05
11,33,0.57,0.62,0.05
11,34,0.71,0.68,-0.03
11,35,0.47,0.42,-0.05
11,36,0.66,0.73,0.07
11,37,0.76,0.78,0.02
11,38,0.61,0.74,0.13
11,39,0.87,0.84,-0.03
11,40,0.72,0.69,-0.03
11,41,0.49,0.77,0.28
11,42,0.71,0.79,0.08
11,43,0.7,0.77,0.07
11,44,0.32,0.43,0.11
11,45,0.49,0.59,0.1
11,46,0.55,0.6,0.05
11,47,0.68,0.7,0.02
11,48,0.88,0.88,0.0
11,49,0.74,0.8,0.06
11,50,0.45,0.54,0.09
11,51,0.64,0.63,-0.01
11,52,0.43,0.62,0.19
11,53,0.95,0.95,0.0
11,54,0.77,0.82,0.05
11,55,0.32,0.41,0.09
11,56,0.85,0.86,0.01
11,57,0.75,0.75,0.0
11,58,0.85,0.85,0.0
11,59,0.57,0.71,0.14
11,60,0.86,0.88,0.02
11,61,0.64,0.72,0.08
11,62,0.74,0.79,0.05
11,63,0.54,0.68,0.14
11,64,0.52,0.54,0.02
11,65,0.57,0.66,0.09
11,66,0.66,0.78,0.12
11,67,0.44,0.62,0.18
11,68,0.81,0.93,0.12
11,69,0.75,0.79,0.04
11,70,0.62,0.71,0.09
11,71,0.74,0.87,0.13
11,72,0.46,0.53,0.07
11,73,0.51,0.57,0.06
11,74,0.43,0.58,0.15
11,75,0.73,0.87,0.14
11,76,0.92,0.89,-0.03
11,77,0.68,0.76,0.08
11,78,0.6,0.62,0.02
11,79,0.74,0.88,0.14
11,80,0.41,0.57,0.16
11,81,0.87,0.81,-0.06
11,82,0.91,0.91,0.0
11,83,0.55,0.51,-0.04
11,84,0.6,0.62,0.02
11,85,0.77,0.87,0.1
