ts,map_seed,rate_stuck_0,rate_stuck_1,n_images,acc,drop_pp,collapse_flag,seconds
2026-08-30T07:19:50.404047+00:00,11,0.001,0.001,10000,66.58,5.47,0,1751.4
2026-08-30T07:49:16.966298+00:00,22,0.001,0.001,10000,70.12,1.93,0,1766.5
2026-08-30T08:19:28.746738+00:00,33,0.001,0.001,10000,70.27,1.78,0,1811.7
2026-08-30T08:50:05.365688+00:00,44,0.001,0.001,10000,69.9,2.15,0,1836.6
2026-08-30T09:20:27.247827+00:00,55,0.001,0.001,10000,68.16,3.89,0,1821.9
2026-08-30T09:49:46.771274+00:00,66,0.001,0.001,10000,65.02,7.03,0,1759.5
2026-08-30T10:19:30.755582+00:00,77,0.001,0.001,10000,71.55,0.5,0,1784.0
2026-08-30T10:48:58.082027+00:00,88,0.001,0.001,10000,70.2,1.85,0,1767.3
2026-08-30T11:19:15.792819+00:00,99,0.001,0.001,10000,42.01,30.04,1,1817.7
2026-08-30T11:49:54.677170+00:00,110,0.001,0.001,10000,70.13,1.92,0,1838.8
