class_id,recall
0,0.91
1,0.86
2,0.78
3,0.55
4,0.61
5,0.85
6,0.76
7,0.76
8,0.89
9,0.8
10,0.51
11,0.44
12,0.85
13,0.63
14,0.76
15,0.8
16,0.82
17,0.86
18,0.69
19,0.69
20,0.83
21,0.8
22,0.73
23,0.78
24,0.83
25,0.62
26,0.67
27,0.52
28,0.79
29,0.68
30,0.63
31,0.76
32,0.6
33,0.62
34,0.68
35,0.42
36,0.73
37,0.78
38,0.74
39,0.84
40,0.69
41,0.77
42,0.79
43,0.77
44,0.43
45,0.59
46,0.6
47,0.7
48,0.88
49,0.8
50,0.54
51,0.63
52,0.62
53,0.95
54,0.82
55,0.41
56,0.86
57,0.75
58,0.85
59,0.71
60,0.88
61,0.72
62,0.79
63,0.68
64,0.54
65,0.66
66,0.78
67,0.62
68,0.93
69,0.79
70,0.71
71,0.87
72,0.53
73,0.57
74,0.58
75,0.87
76,0.89
77,0.76
78,0.62
79,0.88
80,0.57
81,0.81
82,0.91
83,0.51
84,0.62
85,0.87
86,0.71
87,0.8
88,0.78
89,0.93
90,0.83
91,0.72
92,0.58
93,0.57
94,0.93
95,0.74
96,0.57
97,0.75
98,0.38
99,0.77
