map_seed,rank,class_id,class_name,excess
11,1,27,crocodile,0.29
11,2,41,lawn_mower,0.28
11,3,52,oak_tree,0.19
11,4,67,ray,0.18
11,5,21,chimpanzee,0.17
11,6,80,squirrel,0.16
11,7,10,bowl,0.15
11,8,74,shrew,0.15
11,9,4,beaver,0.14
11,10,26,crab,0.14
22,1,96,willow_tree,0.11
22,2,41,lawn_mower,0.10
22,3,62,poppy,0.10
22,4,27,crocodile,0.09
22,5,63,porcupine,0.09
22,6,80,squirrel,0.09
22,7,99,worm,0.09
22,8,21,chimpanzee,0.08
22,9,98,woman,0.08
22,10,10,bowl,0.07
33,1,27,crocodile,0.13
33,2,83,sweet_pepper,0.13
33,3,43,lion,0.12
33,4,65,rabbit,0.11
33,5,41,lawn_mower,0.10
33,6,31,elephant,0.09
33,7,92,tulip,0.09
33,8,58,pickup_truck,0.07
33,9,12,bridge,0.06
33,10,35,girl,0.06
44,1,41,lawn_mower,0.14
44,2,72,seal,0.11
44,3,7,beetle,0.10
44,4,52,oak_tree,0.10
44,5,13,bus,0.09
44,6,36,hamster,0.09
44,7,43,lion,0.09
44,8,62,poppy,0.09
44,9,27,crocodile,0.08
44,10,42,leopard,0.08
55,1,41,lawn_mower,0.36
55,2,64,possum,0.19
55,3,44,lizard,0.16
55,4,14,butterfly,0.15
55,5,42,leopard,0.15
55,6,59,pine_tree,0.12
55,7,26,crab,0.11
55,8,15,camel,0.10
55,9,19,cattle,0.10
55,10,43,lion,0.10
66,1,41,lawn_mower,0.38
66,2,27,crocodile,0.26
66,3,4,beaver,0.22
66,4,21,chimpanzee,0.22
66,5,67,ray,0.22
66,6,24,cockroach,0.21
66,7,29,dinosaur,0.18
66,8,45,lobster,0.18
66,9,49,mountain,0.18
66,10,63,porcupine,0.17
77,1,15,camel,0.10
77,2,31,elephant,0.08
77,3,40,lamp,0.06
77,4,41,lawn_mower,0.06
77,5,42,leopard,0.06
77,6,61,plate,0.06
77,7,27,crocodile,0.05
77,8,34,fox,0.05
77,9,58,pickup_truck,0.05
77,10,60,plain,0.05
88,1,72,seal,0.14
88,2,15,camel,0.13
88,3,10,bowl,0.11
88,4,11,boy,0.10
88,5,12,bridge,0.10
88,6,22,clock,0.10
88,7,42,leopard,0.10
88,8,78,snake,0.10
88,9,98,woman,0.10
88,10,38,kangaroo,0.08
99,1,15,camel,0.69
99,2,89,tractor,0.68
99,3,42,leopard,0.67
99,4,88,tiger,0.67
99,5,70,rose,0.61
99,6,68,road,0.56
99,7,38,kangaroo,0.53
99,8,43,lion,0.53
99,9,4,beaver,0.52
99,10,12,bridge,0.51
110,1,15,camel,0.11
110,2,27,crocodile,0.11
110,3,77,snail,0.11
110,4,80,squirrel,0.10
110,5,92,tulip,0.09
110,6,11,boy,0.08
110,7,25,couch,0.08
110,8,42,leopard,0.07
110,9,95,whale,0.07
110,10,4,beaver,0.06
