ts,map_seed,cv,n_images,acc,drop_pp,collapse_flag,seconds,n_analog_core,analog_core_hit
2026-08-30T18:54:04.128550+00:00,11,0.3,10000,65.89,6.16,0,766.8,0,
2026-08-30T19:06:51.330350+00:00,22,0.3,10000,65.53,6.52,0,767.2,0,
2026-08-30T19:19:38.209683+00:00,33,0.3,10000,66.44,5.61,0,766.9,1,crocodile
2026-08-30T19:32:24.742137+00:00,44,0.3,10000,67.04,5.01,0,766.5,0,
2026-08-30T19:45:11.959387+00:00,55,0.3,10000,65.77,6.28,0,767.2,0,
2026-08-30T19:57:59.311157+00:00,66,0.3,10000,68.53,3.52,0,767.3,0,
2026-08-30T20:10:46.509507+00:00,77,0.3,10000,67.27,4.78,0,767.2,0,
2026-08-30T20:23:33.871408+00:00,88,0.3,10000,67.75,4.3,0,767.3,0,
2026-08-30T20:36:20.931274+00:00,99,0.3,10000,64.64,7.41,0,767.0,0,
2026-08-30T20:49:07.805359+00:00,110,0.3,10000,67.97,4.08,0,766.8,0,
