ts,map_seed,cv,n_images,acc,drop_pp,collapse_flag,seconds
2026-08-30T14:59:15.836591+00:00,11,0.15,10000,70.86,1.19,0,767.3
2026-08-30T15:12:02.458950+00:00,22,0.15,10000,70.97,1.08,0,766.6
2026-08-30T15:24:50.185464+00:00,33,0.15,10000,69.09,2.96,0,767.7
2026-08-30T15:37:37.628609+00:00,44,0.15,10000,71.21,0.84,0,767.4
2026-08-30T15:50:24.481689+00:00,55,0.15,10000,71.16,0.89,0,766.8
2026-08-30T16:03:11.325470+00:00,66,0.15,10000,71.61,0.44,0,766.8
2026-08-30T16:15:58.180421+00:00,77,0.15,10000,71.01,1.04,0,766.8
2026-08-30T16:28:45.007714+00:00,88,0.15,10000,71.58,0.47,0,766.8
2026-08-30T16:41:31.069246+00:00,99,0.15,10000,70.63,1.42,0,766.0
2026-08-30T16:54:18.395143+00:00,110,0.15,10000,71.4,0.65,0,767.3
