map_seed,rank,class_id,class_name,excess
11,1,6,bee,0.12
11,2,77,snail,0.10
11,3,31,elephant,0.09
11,4,47,maple_tree,0.09
11,5,13,bus,0.07
11,6,73,shark,0.07
11,7,2,baby,0.06
11,8,7,beetle,0.06
11,9,35,girl,0.06
11,10,65,rabbit,0.06
22,1,3,bear,0.11
22,2,7,beetle,0.11
22,3,43,lion,0.10
22,4,98,woman,0.10
22,5,36,hamster,0.09
22,6,30,dolphin,0.07
22,7,55,orchid,0.07
22,8,65,rabbit,0.07
22,9,76,skyscraper,0.07
22,10,77,snail,0.07
33,1,41,lawn_mower,0.41
33,2,24,cockroach,0.16
33,3,20,chair,0.14
33,4,71,sea,0.14
33,5,86,telephone,0.13
33,6,29,dinosaur,0.12
33,7,35,girl,0.12
33,8,13,bus,0.11
33,9,27,crocodile,0.10
33,10,96,willow_tree,0.10
44,1,38,kangaroo,0.13
44,2,83,sweet_pepper,0.11
44,3,98,woman,0.11
44,4,11,boy,0.08
44,5,42,leopard,0.08
44,6,12,bridge,0.07
44,7,65,rabbit,0.07
44,8,78,snake,0.07
44,9,4,beaver,0.06
44,10,16,can,0.06
55,1,83,sweet_pepper,0.15
55,2,11,boy,0.12
55,3,96,willow_tree,0.11
55,4,77,snail,0.09
55,5,14,butterfly,0.07
55,6,38,kangaroo,0.07
55,7,44,lizard,0.07
55,8,12,bridge,0.06
55,9,30,dolphin,0.06
55,10,64,possum,0.06
66,1,38,kangaroo,0.10
66,2,74,shrew,0.08
66,3,83,sweet_pepper,0.08
66,4,88,tiger,0.08
66,5,19,cattle,0.06
66,6,65,rabbit,0.06
66,7,67,ray,0.06
66,8,71,sea,0.06
66,9,78,snake,0.06
66,10,80,squirrel,0.06
77,1,11,boy,0.08
77,2,20,chair,0.07
77,3,22,clock,0.07
77,4,38,kangaroo,0.07
77,5,47,maple_tree,0.07
77,6,54,orchid,0.07
77,7,0,apple,0.06
77,8,3,bear,0.06
77,9,6,bee,0.06
77,10,19,cattle,0.06
88,1,38,kangaroo,0.12
88,2,31,elephant,0.10
88,3,7,beetle,0.09
88,4,34,fox,0.09
88,5,12,bridge,0.08
88,6,22,clock,0.08
88,7,33,forest,0.08
88,8,42,leopard,0.08
88,9,78,snake,0.08
88,10,88,tiger,0.08
99,1,83,sweet_pepper,0.10
99,2,7,beetle,0.09
99,3,3,bear,0.08
99,4,6,bee,0.08
99,5,28,cup,0.08
99,6,29,dinosaur,0.08
99,7,42,leopard,0.08
99,8,43,lion,0.08
99,9,92,tulip,0.08
99,10,12,bridge,0.07
110,1,73,shark,0.10
110,2,77,snail,0.10
110,3,38,kangaroo,0.08
110,4,78,snake,0.08
110,5,80,squirrel,0.08
110,6,2,baby,0.07
110,7,7,beetle,0.07
110,8,42,leopard,0.07
110,9,62,poppy,0.07
110,10,36,hamster,0.06
