ts,sparsity,realized,n_images,acc,drop_pp,collapse_flag,seconds
2026-08-30T17:13:20.873001+00:00,0.0,0.0,1024,72.6562,0.0,0,82.1
2026-08-30T17:14:39.743877+00:00,0.1,0.1,1024,72.0703,0.5859,0,78.7
2026-08-30T17:15:58.538970+00:00,0.2,0.2,1024,71.9727,0.6836,0,78.7
2026-08-30T17:17:17.201853+00:00,0.3,0.3,1024,72.0703,0.5859,0,78.6
2026-08-30T17:18:35.910035+00:00,0.4,0.4,1024,72.3633,0.293,0,78.6
2026-08-30T17:19:54.587374+00:00,0.5,0.5,1024,71.2891,1.3672,0,78.6
2026-08-30T17:21:13.404383+00:00,0.6,0.6,1024,70.9961,1.6602,0,78.7
2026-08-30T17:22:32.313871+00:00,0.7,0.7,1024,67.8711,4.7852,0,78.8
2026-08-30T17:23:51.191506+00:00,0.8,0.8,1024,56.7383,15.918,0,78.8
2026-08-30T17:25:10.113777+00:00,0.9,0.9,1024,4.5898,68.0664,1,78.8
