checkpoint,map_seed,drop_pp,loocv_pred_pp,loocv_abs_err_pp,loocv_resid_pp,X1_count,X2_norm_weighted,X3_depth_weighted
seed1234,11,5.47,3.34,2.13,2.13,88478,0,0
seed1234,22,1.93,0.81,1.12,1.12,88612,0,0
seed1234,33,1.78,10.59,8.81,-8.81,88103,0,0
seed1234,44,2.15,3.22,1.07,-1.07,88471,0,0
seed1234,55,3.89,1.61,2.28,2.28,88115,0,0
seed1234,66,7.03,15.12,8.09,-8.09,88109,0,0
seed1234,77,0.5,0.56,0.06,-0.06,88623,0,0
seed1234,88,1.85,28.63,26.78,-26.78,88671,0,0
seed1234,99,30.04,3.40,26.64,26.64,88440,0,0
seed1234,110,1.92,1.90,0.02,0.02,88614,0,0
seed5678,11,1.82,3.82,2.00,-2.00,88431,0,0
seed5678,22,2.98,4.87,1.89,-1.89,88444,0,0
seed5678,33,1.94,2.65,0.71,-0.71,88512,0,0
seed5678,44,1.15,1.81,0.66,-0.66,88355,0,0
seed5678,55,9.13,2.38,6.75,6.75,88405,0,0
seed5678,66,3.05,-1.50,4.55,4.55,88634,0,0
seed5678,77,0.73,5.52,4.79,-4.79,88557,0,0
seed5678,88,2.70,2.37,0.33,0.33,88601,0,0
seed5678,99,3.67,4.66,0.99,-0.99,88412,0,0
seed5678,110,2.30,2.07,0.23,0.23,88498,0,0
seed5678_acc72,11,5.28,-10.44,15.72,15.72,88795,0,0
seed5678_acc72,22,4.21,-10.63,14.84,14.84,88175,0,0
seed5678_acc72,33,5.94,-1.22,7.16,7.16,88472,0,0
seed5678_acc72,44,1.84,9.23,7.39,-7.39,88453,0,0
seed5678_acc72,55,1.48,8.87,7.39,-7.39,88495,0,0
